# Title:                 GRDC STATION DATA FILE
#                        --------------
# Format:                DOS-ASCII
# Field delimiter:       ;
# missing values are indicated by -999.000
#
# file generation date:  2021-06-29
#
# GRDC-No.:              6348400
# River:                 PO, FIUME
# Station:               PIACENZA
# Country:               IT
# Latitude (DD):       45.016666
# Longitude (DD):      9.666667
# Catchment area (km²):      42030.0
# Altitude (m ASL):        42.0
# Next downstream station:      6348500
# Remarks:               
# Owner of original data: Initial dataset collected in the framework of the First GARP Global Experiment (FGGE)
#************************************************************
#
# Data Set Content:      MEAN DAILY DISCHARGE (Q)
#                        --------------------
# Unit of measure:                  m³/s
# Time series:           1980-01 - 1985-12
# No. of years:          6
# Last update:           2018-05-24
#
# Table Header:
#     YYYY-MM-DD - Date
#     hh:mm      - Time
#     Value   - original (provided) data
#************************************************************
#
# Data lines: 2192
# DATA
YYYY-MM-DD;hh:mm; Value
1980-01-01;--:--;    892.000
1980-01-02;--:--;    841.000
1980-01-03;--:--;    796.000
1980-01-04;--:--;    777.000
1980-01-05;--:--;    762.000
1980-01-06;--:--;    760.000
1980-01-07;--:--;    736.000
1980-01-08;--:--;    713.000
1980-01-09;--:--;    717.000
1980-01-10;--:--;    717.000
1980-01-11;--:--;    682.000
1980-01-12;--:--;    682.000
1980-01-13;--:--;    696.000
1980-01-14;--:--;    669.000
1980-01-15;--:--;    677.000
1980-01-16;--:--;    708.000
1980-01-17;--:--;    834.000
1980-01-18;--:--;    947.000
1980-01-19;--:--;   1030.000
1980-01-20;--:--;   1100.000
1980-01-21;--:--;    923.000
1980-01-22;--:--;    876.000
1980-01-23;--:--;   1030.000
1980-01-24;--:--;   1090.000
1980-01-25;--:--;   1210.000
1980-01-26;--:--;   1140.000
1980-01-27;--:--;   1060.000
1980-01-28;--:--;    978.000
1980-01-29;--:--;    915.000
1980-01-30;--:--;    885.000
1980-01-31;--:--;    871.000
1980-02-01;--:--;   1520.000
1980-02-02;--:--;   1620.000
1980-02-03;--:--;   1170.000
1980-02-04;--:--;   1040.000
1980-02-05;--:--;    994.000
1980-02-06;--:--;   1050.000
1980-02-07;--:--;   1220.000
1980-02-08;--:--;   1190.000
1980-02-09;--:--;   1100.000
1980-02-10;--:--;   1040.000
1980-02-11;--:--;    965.000
1980-02-12;--:--;    892.000
1980-02-13;--:--;    938.000
1980-02-14;--:--;    949.000
1980-02-15;--:--;    947.000
1980-02-16;--:--;    926.000
1980-02-17;--:--;    896.000
1980-02-18;--:--;    854.000
1980-02-19;--:--;    838.000
1980-02-20;--:--;    851.000
1980-02-21;--:--;    841.000
1980-02-22;--:--;    816.000
1980-02-23;--:--;    796.000
1980-02-24;--:--;    782.000
1980-02-25;--:--;    750.000
1980-02-26;--:--;    740.000
1980-02-27;--:--;    736.000
1980-02-28;--:--;    746.000
1980-02-29;--:--;    750.000
1980-03-01;--:--;    750.000
1980-03-02;--:--;    750.000
1980-03-03;--:--;    753.000
1980-03-04;--:--;    753.000
1980-03-05;--:--;    738.000
1980-03-06;--:--;    748.000
1980-03-07;--:--;    738.000
1980-03-08;--:--;    738.000
1980-03-09;--:--;    732.000
1980-03-10;--:--;    698.000
1980-03-11;--:--;    689.000
1980-03-12;--:--;    769.000
1980-03-13;--:--;    780.000
1980-03-14;--:--;    984.000
1980-03-15;--:--;   2430.000
1980-03-16;--:--;   2530.000
1980-03-17;--:--;   1910.000
1980-03-18;--:--;   1530.000
1980-03-19;--:--;   1410.000
1980-03-20;--:--;   1340.000
1980-03-21;--:--;   1640.000
1980-03-22;--:--;   1790.000
1980-03-23;--:--;   1870.000
1980-03-24;--:--;   2880.000
1980-03-25;--:--;   1960.000
1980-03-26;--:--;   1800.000
1980-03-27;--:--;   1950.000
1980-03-28;--:--;   1790.000
1980-03-29;--:--;   1630.000
1980-03-30;--:--;   1570.000
1980-03-31;--:--;   1490.000
1980-04-01;--:--;   1370.000
1980-04-02;--:--;   1350.000
1980-04-03;--:--;   1320.000
1980-04-04;--:--;   1330.000
1980-04-05;--:--;   1160.000
1980-04-06;--:--;   1110.000
1980-04-07;--:--;    936.000
1980-04-08;--:--;    854.000
1980-04-09;--:--;    750.000
1980-04-10;--:--;    705.000
1980-04-11;--:--;    677.000
1980-04-12;--:--;    651.000
1980-04-13;--:--;    601.000
1980-04-14;--:--;    562.000
1980-04-15;--:--;    555.000
1980-04-16;--:--;    546.000
1980-04-17;--:--;    546.000
1980-04-18;--:--;    542.000
1980-04-19;--:--;    542.000
1980-04-20;--:--;    538.000
1980-04-21;--:--;    557.000
1980-04-22;--:--;    570.000
1980-04-23;--:--;    555.000
1980-04-24;--:--;    526.000
1980-04-25;--:--;    512.000
1980-04-26;--:--;    501.000
1980-04-27;--:--;    505.000
1980-04-28;--:--;    510.000
1980-04-29;--:--;    517.000
1980-04-30;--:--;    514.000
1980-05-01;--:--;    521.000
1980-05-02;--:--;    534.000
1980-05-03;--:--;    542.000
1980-05-04;--:--;    547.000
1980-05-05;--:--;    597.000
1980-05-06;--:--;    743.000
1980-05-07;--:--;    938.000
1980-05-08;--:--;    975.000
1980-05-09;--:--;    991.000
1980-05-10;--:--;   1290.000
1980-05-11;--:--;   1120.000
1980-05-12;--:--;    988.000
1980-05-13;--:--;    915.000
1980-05-14;--:--;    941.000
1980-05-15;--:--;   1040.000
1980-05-16;--:--;   1340.000
1980-05-17;--:--;   1450.000
1980-05-18;--:--;   1320.000
1980-05-19;--:--;   1170.000
1980-05-20;--:--;   1100.000
1980-05-21;--:--;   1250.000
1980-05-22;--:--;    975.000
1980-05-23;--:--;    959.000
1980-05-24;--:--;    991.000
1980-05-25;--:--;   1190.000
1980-05-26;--:--;   1130.000
1980-05-27;--:--;   1130.000
1980-05-28;--:--;   1340.000
1980-05-29;--:--;   1670.000
1980-05-30;--:--;   2220.000
1980-05-31;--:--;   2610.000
1980-06-01;--:--;   2170.000
1980-06-02;--:--;   1800.000
1980-06-03;--:--;   1520.000
1980-06-04;--:--;   1370.000
1980-06-05;--:--;   1180.000
1980-06-06;--:--;   1140.000
1980-06-07;--:--;   1150.000
1980-06-08;--:--;   1310.000
1980-06-09;--:--;   1320.000
1980-06-10;--:--;   3290.000
1980-06-11;--:--;   3620.000
1980-06-12;--:--;   3160.000
1980-06-13;--:--;   2600.000
1980-06-14;--:--;   2360.000
1980-06-15;--:--;   2200.000
1980-06-16;--:--;   2170.000
1980-06-17;--:--;   2140.000
1980-06-18;--:--;   2010.000
1980-06-19;--:--;   2060.000
1980-06-20;--:--;   1880.000
1980-06-21;--:--;   1600.000
1980-06-22;--:--;   1560.000
1980-06-23;--:--;   1580.000
1980-06-24;--:--;   1620.000
1980-06-25;--:--;   1700.000
1980-06-26;--:--;   1590.000
1980-06-27;--:--;   1560.000
1980-06-28;--:--;   1490.000
1980-06-29;--:--;   1320.000
1980-06-30;--:--;   1160.000
1980-07-01;--:--;   1050.000
1980-07-02;--:--;    918.000
1980-07-03;--:--;    861.000
1980-07-04;--:--;    834.000
1980-07-05;--:--;    731.000
1980-07-06;--:--;    649.000
1980-07-07;--:--;    583.000
1980-07-08;--:--;    599.000
1980-07-09;--:--;    682.000
1980-07-10;--:--;   1340.000
1980-07-11;--:--;   1560.000
1980-07-12;--:--;   1410.000
1980-07-13;--:--;   1230.000
1980-07-14;--:--;   1070.000
1980-07-15;--:--;    972.000
1980-07-16;--:--;    920.000
1980-07-17;--:--;   1000.000
1980-07-18;--:--;   1030.000
1980-07-19;--:--;    975.000
1980-07-20;--:--;    892.000
1980-07-21;--:--;    787.000
1980-07-22;--:--;    824.000
1980-07-23;--:--;    838.000
1980-07-24;--:--;    750.000
1980-07-25;--:--;    671.000
1980-07-26;--:--;    651.000
1980-07-27;--:--;    617.000
1980-07-28;--:--;    597.000
1980-07-29;--:--;    589.000
1980-07-30;--:--;    577.000
1980-07-31;--:--;    579.000
1980-08-01;--:--;    572.000
1980-08-02;--:--;    546.000
1980-08-03;--:--;    538.000
1980-08-04;--:--;    529.000
1980-08-05;--:--;    529.000
1980-08-06;--:--;    533.000
1980-08-07;--:--;    526.000
1980-08-08;--:--;    500.000
1980-08-09;--:--;    595.000
1980-08-10;--:--;    785.000
1980-08-11;--:--;    760.000
1980-08-12;--:--;    691.000
1980-08-13;--:--;    630.000
1980-08-14;--:--;    555.000
1980-08-15;--:--;    519.000
1980-08-16;--:--;    526.000
1980-08-17;--:--;    780.000
1980-08-18;--:--;   1250.000
1980-08-19;--:--;   1030.000
1980-08-20;--:--;    905.000
1980-08-21;--:--;    826.000
1980-08-22;--:--;    729.000
1980-08-23;--:--;    638.000
1980-08-24;--:--;    609.000
1980-08-25;--:--;    566.000
1980-08-26;--:--;    549.000
1980-08-27;--:--;    524.000
1980-08-28;--:--;    549.000
1980-08-29;--:--;    978.000
1980-08-30;--:--;   1380.000
1980-08-31;--:--;   1040.000
1980-09-01;--:--;    933.000
1980-09-02;--:--;    831.000
1980-09-03;--:--;    770.000
1980-09-04;--:--;    722.000
1980-09-05;--:--;    685.000
1980-09-06;--:--;    671.000
1980-09-07;--:--;    664.000
1980-09-08;--:--;    664.000
1980-09-09;--:--;    634.000
1980-09-10;--:--;    647.000
1980-09-11;--:--;    701.000
1980-09-12;--:--;    685.000
1980-09-13;--:--;    649.000
1980-09-14;--:--;    615.000
1980-09-15;--:--;    591.000
1980-09-16;--:--;    589.000
1980-09-17;--:--;    585.000
1980-09-18;--:--;    574.000
1980-09-19;--:--;    568.000
1980-09-20;--:--;    581.000
1980-09-21;--:--;    572.000
1980-09-22;--:--;    562.000
1980-09-23;--:--;    583.000
1980-09-24;--:--;    743.000
1980-09-25;--:--;    699.000
1980-09-26;--:--;    647.000
1980-09-27;--:--;    624.000
1980-09-28;--:--;    601.000
1980-09-29;--:--;    583.000
1980-09-30;--:--;    581.000
1980-10-01;--:--;    585.000
1980-10-02;--:--;    587.000
1980-10-03;--:--;    581.000
1980-10-04;--:--;    572.000
1980-10-05;--:--;    566.000
1980-10-06;--:--;    553.000
1980-10-07;--:--;    570.000
1980-10-08;--:--;    572.000
1980-10-09;--:--;    574.000
1980-10-10;--:--;    593.000
1980-10-11;--:--;    581.000
1980-10-12;--:--;    599.000
1980-10-13;--:--;    591.000
1980-10-14;--:--;    587.000
1980-10-15;--:--;    553.000
1980-10-16;--:--;    623.000
1980-10-17;--:--;   1360.000
1980-10-18;--:--;   2340.000
