# Title:                 GRDC STATION DATA FILE
#                        --------------
# Format:                DOS-ASCII
# Field delimiter:       ;
# missing values are indicated by -999.000
#
# file generation date:  2021-06-29
#
# GRDC-No.:              6348400
# River:                 PO, FIUME
# Station:               PIACENZA
# Country:               --
# Latitude (DD):       45.016666
# Longitude (DD):      9.666667
# Catchment area (km²):      
# Altitude (m ASL):        42.0
# Next downstream station:      -
# Remarks:               
# Owner of original data: Initial dataset collected in the framework of the First GARP Global Experiment (FGGE)
#************************************************************
#
# Data Set Content:      MEAN MONTHLY DISCHARGE (MQ)
#                        --------------------
# Unit of measure:                  m³/s
# Time series:           1924 - 1985
# No. of years:          62
# Last update:           2018-05-24
#
# Table Header:
#     YYYY-MM-DD - Date (DD=00)
#     hh:mm      - Time
#     Original   - original (provided) data
#     Calculated - GRDC calculated from daily data
#     Flag       - percentage of valid values used for calculation from daily data
#************************************************************
#
# Data lines: 744
# DATA
YYYY-MM-DD;hh:mm; Original; Calculated; Flag
1924-01-01;--:--;    502.000;   -999.000;   0
1924-02-01;--:--;    531.000;   -999.000;   0
1924-03-01;--:--;    564.000;   -999.000;   0
1924-04-01;--:--;    900.000;   -999.000;   0
1924-05-01;--:--;    918.000;   -999.000;   0
1924-06-01;--:--;   1100.000;   -999.000;   0
1924-07-01;--:--;    669.000;   -999.000;   0
1924-08-01;--:--;    946.000;   -999.000;   0
1924-09-01;--:--;    857.000;   -999.000;   0
1924-10-01;--:--;   1760.000;   -999.000;   0
1924-11-01;--:--;    766.000;   -999.000;   0
1924-12-01;--:--;   1040.000;   -999.000;   0
1925-01-01;--:--;    484.000;   -999.000;   0
1925-02-01;--:--;   1010.000;   -999.000;   0
1925-03-01;--:--;   1180.000;   -999.000;   0
1925-04-01;--:--;   1220.000;   -999.000;   0
1925-05-01;--:--;   1560.000;   -999.000;   0
1925-06-01;--:--;   1470.000;   -999.000;   0
1925-07-01;--:--;   1110.000;   -999.000;   0
1925-08-01;--:--;    718.000;   -999.000;   0
1925-09-01;--:--;    916.000;   -999.000;   0
1925-10-01;--:--;    958.000;   -999.000;   0
1925-11-01;--:--;    766.000;   -999.000;   0
1925-12-01;--:--;    535.000;   -999.000;   0
1926-01-01;--:--;    500.000;   -999.000;   0
1926-02-01;--:--;   1250.000;   -999.000;   0
1926-03-01;--:--;    678.000;   -999.000;   0
1926-04-01;--:--;    913.000;   -999.000;   0
1926-05-01;--:--;   2790.000;   -999.000;   0
1926-06-01;--:--;   1570.000;   -999.000;   0
1926-07-01;--:--;   1270.000;   -999.000;   0
1926-08-01;--:--;    581.000;   -999.000;   0
1926-09-01;--:--;    532.000;   -999.000;   0
1926-10-01;--:--;    592.000;   -999.000;   0
1926-11-01;--:--;   4780.000;   -999.000;   0
1926-12-01;--:--;   1540.000;   -999.000;   0
1927-01-01;--:--;    922.000;   -999.000;   0
