# Title:                 GRDC STATION DATA FILE
#                        --------------
# Format:                DOS-ASCII
# Field delimiter:       ;
# missing values are indicated by -999.000
#
# file generation date:  2021-06-29
#
# GRDC-No.:              6348800
# River:                 PO, FIUME
# Station:               PONTELAGOSCURO
# Country:               IT
# Latitude (DD):       44.883335
# Longitude (DD):      11.6
# Catchment area (km²):      70091.0
# Altitude (m ASL):        8.0
# Next downstream station:      -
# Remarks:               
# Owner of original data: Initial dataset collected in the framework of the First GARP Global Experiment (FGGE)
#************************************************************
#
# Data Set Content:      MEAN DAILY DISCHARGE (Q)
#                        --------------------
# Unit of measure:                  m³/s
# Time series:           1980-01 - 1985-12
# No. of years:          6
# Last update:           2018-05-24
#
# Table Header:
#     YYYY-MM-DD - Date
#     hh:mm      - Time
#     Value   - original (provided) data
#************************************************************
#
# Data lines: 2192
# DATA
YYYY-MM-DD;hh:mm; Value
1980-01-01;--:--;   1920.000
1980-01-02;--:--;   1780.000
1980-01-03;--:--;   1600.000
1980-01-04;--:--;   1510.000
1980-01-05;--:--;   1460.000
1980-01-06;--:--;   1420.000
1980-01-07;--:--;   1380.000
1980-01-08;--:--;   1330.000
1980-01-09;--:--;   1310.000
1980-01-10;--:--;   1300.000
1980-01-11;--:--;   1290.000
1980-01-12;--:--;   1290.000
1980-01-13;--:--;   1300.000
1980-01-14;--:--;   1240.000
1980-01-15;--:--;   1190.000
1980-01-16;--:--;   1210.000
1980-01-17;--:--;   1400.000
1980-01-18;--:--;   1580.000
1980-01-19;--:--;   1720.000
1980-01-20;--:--;   1810.000
1980-01-21;--:--;   1860.000
1980-01-22;--:--;   1870.000
1980-01-23;--:--;   1760.000
1980-01-24;--:--;   2110.000
1980-01-25;--:--;   2920.000
1980-01-26;--:--;   3090.000
1980-01-27;--:--;   2720.000
1980-01-28;--:--;   2330.000
1980-01-29;--:--;   2080.000
1980-01-30;--:--;   1890.000
1980-01-31;--:--;   1770.000
1980-02-01;--:--;   1710.000
1980-02-02;--:--;   2160.000
1980-02-03;--:--;   2770.000
1980-02-04;--:--;   2540.000
1980-02-05;--:--;   2210.000
1980-02-06;--:--;   1950.000
1980-02-07;--:--;   1880.000
1980-02-08;--:--;   1880.000
1980-02-09;--:--;   1970.000
1980-02-10;--:--;   1980.000
1980-02-11;--:--;   1860.000
1980-02-12;--:--;   1730.000
1980-02-13;--:--;   1650.000
1980-02-14;--:--;   1630.000
1980-02-15;--:--;   1620.000
1980-02-16;--:--;   1620.000
1980-02-17;--:--;   1610.000
1980-02-18;--:--;   1560.000
1980-02-19;--:--;   1450.000
1980-02-20;--:--;   1400.000
1980-02-21;--:--;   1400.000
1980-02-22;--:--;   1410.000
1980-02-23;--:--;   1410.000
1980-02-24;--:--;   1410.000
1980-02-25;--:--;   1340.000
1980-02-26;--:--;   1260.000
1980-02-27;--:--;   1230.000
1980-02-28;--:--;   1250.000
1980-02-29;--:--;   1250.000
1980-03-01;--:--;   1250.000
1980-03-02;--:--;   1250.000
1980-03-03;--:--;   1250.000
1980-03-04;--:--;   1200.000
1980-03-05;--:--;   1190.000
1980-03-06;--:--;   1190.000
1980-03-07;--:--;   1200.000
1980-03-08;--:--;   1210.000
1980-03-09;--:--;   1220.000
1980-03-10;--:--;   1250.000
1980-03-11;--:--;   1280.000
1980-03-12;--:--;   1270.000
1980-03-13;--:--;   1260.000
1980-03-14;--:--;   1250.000
1980-03-15;--:--;   1360.000
1980-03-16;--:--;   2540.000
1980-03-17;--:--;   3740.000
1980-03-18;--:--;   3790.000
1980-03-19;--:--;   3060.000
1980-03-20;--:--;   2570.000
1980-03-21;--:--;   2320.000
1980-03-22;--:--;   2530.000
1980-03-23;--:--;   2710.000
1980-03-24;--:--;   3220.000
1980-03-25;--:--;   3420.000
1980-03-26;--:--;   3620.000
1980-03-27;--:--;   3130.000
1980-03-28;--:--;   2880.000
1980-03-29;--:--;   2850.000
1980-03-30;--:--;   2720.000
1980-03-31;--:--;   2510.000
1980-04-01;--:--;   2390.000
1980-04-02;--:--;   2300.000
1980-04-03;--:--;   2210.000
1980-04-04;--:--;   2130.000
1980-04-05;--:--;   2090.000
1980-04-06;--:--;   2040.000
1980-04-07;--:--;   1880.000
1980-04-08;--:--;   1710.000
1980-04-09;--:--;   1590.000
1980-04-10;--:--;   1510.000
1980-04-11;--:--;   1470.000
1980-04-12;--:--;   1380.000
1980-04-13;--:--;   1290.000
1980-04-14;--:--;   1190.000
1980-04-15;--:--;   1120.000
1980-04-16;--:--;   1050.000
1980-04-17;--:--;   1010.000
1980-04-18;--:--;    996.000
1980-04-19;--:--;    985.000
1980-04-20;--:--;    980.000
1980-04-21;--:--;    996.000
1980-04-22;--:--;   1140.000
1980-04-23;--:--;   1140.000
1980-04-24;--:--;   1090.000
1980-04-25;--:--;   1050.000
1980-04-26;--:--;    970.000
1980-04-27;--:--;    909.000
1980-04-28;--:--;    868.000
1980-04-29;--:--;    868.000
1980-04-30;--:--;    882.000
1980-05-01;--:--;    882.000
1980-05-02;--:--;    882.000
1980-05-03;--:--;    891.000
1980-05-04;--:--;    900.000
1980-05-05;--:--;    882.000
1980-05-06;--:--;    896.000
1980-05-07;--:--;    947.000
1980-05-08;--:--;   1180.000
1980-05-09;--:--;   1280.000
1980-05-10;--:--;   1370.000
1980-05-11;--:--;   1510.000
1980-05-12;--:--;   1730.000
1980-05-13;--:--;   1710.000
1980-05-14;--:--;   1540.000
1980-05-15;--:--;   1470.000
1980-05-16;--:--;   1540.000
1980-05-17;--:--;   1670.000
1980-05-18;--:--;   1900.000
1980-05-19;--:--;   2020.000
1980-05-20;--:--;   1930.000
1980-05-21;--:--;   1720.000
1980-05-22;--:--;   1600.000
1980-05-23;--:--;   1530.000
1980-05-24;--:--;   1520.000
1980-05-25;--:--;   1710.000
1980-05-26;--:--;   1720.000
1980-05-27;--:--;   1730.000
1980-05-28;--:--;   1730.000
1980-05-29;--:--;   1950.000
1980-05-30;--:--;   2190.000
1980-05-31;--:--;   2410.000
1980-06-01;--:--;   2950.000
1980-06-02;--:--;   3170.000
1980-06-03;--:--;   2870.000
1980-06-04;--:--;   2440.000
1980-06-05;--:--;   2160.000
1980-06-06;--:--;   1900.000
1980-06-07;--:--;   1680.000
1980-06-08;--:--;   1560.000
1980-06-09;--:--;   1570.000
1980-06-10;--:--;   1930.000
1980-06-11;--:--;   3080.000
1980-06-12;--:--;   4150.000
1980-06-13;--:--;   4470.000
1980-06-14;--:--;   4030.000
1980-06-15;--:--;   3450.000
1980-06-16;--:--;   3060.000
1980-06-17;--:--;   2830.000
1980-06-18;--:--;   2730.000
1980-06-19;--:--;   2640.000
1980-06-20;--:--;   2570.000
1980-06-21;--:--;   2540.000
1980-06-22;--:--;   2280.000
1980-06-23;--:--;   2060.000
1980-06-24;--:--;   2020.000
1980-06-25;--:--;   2260.000
1980-06-26;--:--;   2440.000
1980-06-27;--:--;   2560.000
1980-06-28;--:--;   2500.000
1980-06-29;--:--;   2380.000
1980-06-30;--:--;   2160.000
1980-07-01;--:--;   1900.000
1980-07-02;--:--;   1660.000
1980-07-03;--:--;   1480.000
1980-07-04;--:--;   1300.000
1980-07-05;--:--;   1180.000
1980-07-06;--:--;   1070.000
1980-07-07;--:--;    960.000
1980-07-08;--:--;    864.000
1980-07-09;--:--;    793.000
1980-07-10;--:--;    821.000
1980-07-11;--:--;   1180.000
1980-07-12;--:--;   2120.000
1980-07-13;--:--;   2390.000
1980-07-14;--:--;   2190.000
1980-07-15;--:--;   1940.000
1980-07-16;--:--;   1720.000
1980-07-17;--:--;   1560.000
1980-07-18;--:--;   1530.000
1980-07-19;--:--;   1600.000
1980-07-20;--:--;   1500.000
1980-07-21;--:--;   1310.000
1980-07-22;--:--;   1180.000
1980-07-23;--:--;   1070.000
1980-07-24;--:--;   1090.000
1980-07-25;--:--;   1080.000
1980-07-26;--:--;    974.000
1980-07-27;--:--;    889.000
1980-07-28;--:--;    827.000
1980-07-29;--:--;    776.000
1980-07-30;--:--;    760.000
