# Title:                 GRDC STATION DATA FILE
#                        --------------
# Format:                DOS-ASCII
# Field delimiter:       ;
# missing values are indicated by -999.000
#
# file generation date:  2021-06-29
#
# GRDC-No.:              6348800
# River:                 PO, FIUME
# Station:               PONTELAGOSCURO
# Country:               --
# Latitude (DD):       44.883335
# Longitude (DD):      11.6
# Catchment area (km²):      
# Altitude (m ASL):        8.0
# Next downstream station:      -
# Remarks:               
# Owner of original data: Initial dataset collected in the framework of the First GARP Global Experiment (FGGE)
#************************************************************
#
# Data Set Content:      MEAN MONTHLY DISCHARGE (MQ)
#                        --------------------
# Unit of measure:                  m³/s
# Time series:           1918 - 1998
# No. of years:          81
# Last update:           2018-05-24
#
# Table Header:
#     YYYY-MM-DD - Date (DD=00)
#     hh:mm      - Time
#     Original   - original (provided) data
#     Calculated - GRDC calculated from daily data
#     Flag       - percentage of valid values used for calculation from daily data
#************************************************************
#
# Data lines: 963
# DATA
YYYY-MM-DD;hh:mm; Original; Calculated; Flag
1918-01-01;--:--;   1210.000;   -999.000;   0
1918-02-01;--:--;   1010.000;   -999.000;   0
1918-03-01;--:--;   1480.000;   -999.000;   0
1918-04-01;--:--;   3050.000;   -999.000;   0
1918-05-01;--:--;   3620.000;   -999.000;   0
1918-06-01;--:--;   3190.000;   -999.000;   0
1918-07-01;--:--;   1990.000;   -999.000;   0
1918-08-01;--:--;   1250.000;   -999.000;   0
1918-09-01;--:--;   1260.000;   -999.000;   0
1918-10-01;--:--;   2860.000;   -999.000;   0
1918-11-01;--:--;   2020.000;   -999.000;   0
1918-12-01;--:--;   1200.000;   -999.000;   0
1919-01-01;--:--;   2230.000;   -999.000;   0
1919-02-01;--:--;   1370.000;   -999.000;   0
1919-03-01;--:--;   1430.000;   -999.000;   0
1919-04-01;--:--;   1870.000;   -999.000;   0
1919-05-01;--:--;   1100.000;   -999.000;   0
1919-06-01;--:--;   1310.000;   -999.000;   0
1919-07-01;--:--;   1200.000;   -999.000;   0
1919-08-01;--:--;   1010.000;   -999.000;   0
1919-09-01;--:--;   1020.000;   -999.000;   0
1919-10-01;--:--;   1850.000;   -999.000;   0
1919-11-01;--:--;   1650.000;   -999.000;   0
1919-12-01;--:--;   1180.000;   -999.000;   0
1920-01-01;--:--;   2110.000;   -999.000;   0
1920-02-01;--:--;   1280.000;   -999.000;   0
1920-03-01;--:--;   2230.000;   -999.000;   0
1920-04-01;--:--;   3650.000;   -999.000;   0
1920-05-01;--:--;   2780.000;   -999.000;   0
1920-06-01;--:--;   2540.000;   -999.000;   0
1920-07-01;--:--;   1870.000;   -999.000;   0
1920-08-01;--:--;   1370.000;   -999.000;   0
1920-09-01;--:--;   2110.000;   -999.000;   0
1920-10-01;--:--;   3730.000;   -999.000;   0
1920-11-01;--:--;   2770.000;   -999.000;   0
1920-12-01;--:--;   2410.000;   -999.000;   0
1921-01-01;--:--;   1460.000;   -999.000;   0
1921-02-01;--:--;   1380.000;   -999.000;   0
1921-03-01;--:--;   1200.000;   -999.000;   0
1921-04-01;--:--;   1410.000;   -999.000;   0
1921-05-01;--:--;   1610.000;   -999.000;   0
1921-06-01;--:--;   1750.000;   -999.000;   0
1921-07-01;--:--;   1070.000;   -999.000;   0
1921-08-01;--:--;   1160.000;   -999.000;   0
1921-09-01;--:--;   1260.000;   -999.000;   0
1921-10-01;--:--;    923.000;   -999.000;   0
1921-11-01;--:--;    754.000;   -999.000;   0
